,PBA,PUBCLIM,SQFTC,WLCNS,RFCNS,RFCOOL,RFTILT,BLDSHP,GLSSPC,NFLOOR,FLCEILHT,ATTIC,YRCONC,PBAPLUS,FACIL,GOVOWN,OWNTYPE,OWNOPR,MONUSE,OPNMF,OPNWE,NWKER,WATR,EGYUSED,ELUSED,NGUSED,SOHT1,FKHT2,PRHT2,COHT2,SOHT2,NGCOOL,FKCOOL,PRCOOL,OTCOOL,ELWATR,NGWATR,FKWATR,PRWATR,WOWATR,COWATR,SOWATR,OTWATR,ELCOOK,NGCOOK,FKCOOK,PRCOOK,COCOOK,OTCOOK,NGMANU,FKMANU,PRMANU,HWMANU,OTMANU,NGGENR,PRGENR,COGENR,NGOTH,FKOTH,PROTH,CWOTH,WOOTH,SOOTH,OTOTH,RFGEQP,LTEXPC,PKLT,WINTYP,HDD65,Y_Class
0,2,3,8,1,4,2,1,6,3,994,12,2,2,4,2,1,8,1,12,1,2,350,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,2,4463,1
1,2,4,5,1,6,1,1,11,3,5,8,2,6,6,1,2,2,1,12,1,2,12,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,1,2424,0
2,8,4,2,1,4,2,3,2,3,1,9,1,6,18,2,2,3,1,12,1,2,6,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,4.0,1.0,2,3218,0
3,5,5,8,2,6,1,1,2,2,1,25,2,9,9,2,2,1,1,12,1,2,34,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1.0,2.0,1.0,2,1045,0
4,5,3,8,3,6,2,1,1,1,1,30,2,4,9,2,2,1,1,12,1,1,10,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,4.0,1.0,2,5076,1
5,14,3,6,1,6,1,1,9,2,2,8,2,7,28,2,1,10,1,12,1,1,112,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1.0,4.0,1.0,2,4830,0
6,14,5,5,1,4,1,1,2,3,2,8,2,8,54,2,2,5,1,12,1,2,43,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,2,1924,0
7,5,2,7,1,6,1,1,1,3,2,20,2,4,9,2,1,8,1,12,1,1,110,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,4.0,1.0,3,4540,0
8,25,2,6,3,6,1,1,1,1,1,12,2,8,42,2,2,1,2,12,1,1,30,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,1,5054,0
9,14,2,8,1,1,2,1,7,3,3,10,1,3,29,1,1,9,1,12,1,1,80,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,4.0,1.0,2,8497,1
10,25,3,3,1,1,2,1,1,2,1,20,2,5,42,2,2,1,1,12,1,1,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,2.0,1,5951,0
11,7,7,8,3,6,1,1,9,4,5,12,2,5,52,1,1,97,2,12,1,1,250,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,1,1376,1
12,2,3,5,1,6,2,1,2,5,3,10,1,7,2,2,2,2,2,12,1,2,25,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,2,4615,0
13,14,4,3,5,5,1,3,2,1,1,24,2,8,28,1,1,10,1,10,1,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,3.0,1.0,4,2886,0
14,5,2,2,5,4,2,3,1,1,2,16,1,6,10,2,2,2,1,12,1,2,4,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,3.0,2.0,4,6250,0
15,25,5,3,1,4,2,1,2,3,1,20,1,8,42,2,2,1,2,12,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,2.0,2,1504,0
16,14,4,6,1,6,1,1,6,4,1,11,2,3,28,1,1,10,1,10,1,2,48,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1.0,2.0,2.0,3,2706,0
17,5,7,10,3,6,1,2,2,2,4,12,2,9,9,2,2,2,2,12,1,1,800,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1.0,4.0,1.0,2,3826,1
18,2,4,7,1,6,1,1,3,3,3,12,2,2,2,2,2,2,1,12,1,2,400,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,2,3943,1
19,2,7,10,1,1,2,1,1,3,995,12,1,2,6,1,2,2,1,12,1,1,2500,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,2,5545,1
20,2,3,8,6,5,1,3,2,6,4,10,1,8,4,2,1,9,2,12,1,2,400,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,2.0,2,5213,1
21,2,4,8,3,7,2,1,6,3,994,12,1,2,2,2,2,2,1,12,1,1,500,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1.0,4.0,1.0,2,777,1
22,2,1,4,8,5,2,3,2,3,3,12,1,6,4,1,1,10,1,12,1,1,25,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,2,6536,0
23,5,3,7,1,6,1,2,2,2,1,30,2,8,9,2,2,2,2,12,1,1,20,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1.0,1.0,2.0,2,4448,1
24,2,3,8,6,1,2,1,1,5,995,11,2,8,2,2,2,2,1,12,1,1,247,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,2,4368,1
25,2,3,7,3,6,1,2,2,3,994,9,2,6,2,2,2,1,1,12,1,1,250,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1.0,4.0,1.0,3,4590,1
26,1,5,2,3,5,1,1,2,3,1,8,2,5,1,2,2,1,1,11,3,2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,1.0,2.0,2,1507,0
28,2,2,8,6,1,1,1,11,5,994,9,2,6,6,1,2,2,1,12,1,1,1053,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,2,6302,1
29,2,4,2,1,4,2,2,2,1,1,10,2,9,5,2,2,3,2,12,1,2,6,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,2.0,3,2496,0
30,8,4,9,1,8,2,1,5,1,3,9,1,4,19,1,2,5,1,12,1,1,1000,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,2,2245,1
31,2,4,7,2,8,1,2,1,4,5,18,2,8,2,1,2,2,1,12,1,2,612,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,2,2327,1
32,25,4,7,3,6,2,1,2,1,1,17,2,8,42,1,2,1,1,12,1,1,115,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,1,3733,1
33,12,5,6,3,2,2,3,7,3,2,50,2,4,21,1,2,4,1,12,2,1,15,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,1.0,1.0,1,1523,0
34,26,2,3,1,1,2,2,2,5,1,8,2,2,47,1,2,2,1,12,1,1,10,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,2.0,2,6126,0
35,26,3,3,5,5,2,2,2,1,1,16,2,7,48,1,1,9,1,12,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,1.0,2.0,4,3762,0
36,25,3,2,3,3,2,2,11,3,1,9,2,5,43,2,2,3,2,12,1,1,4,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,3,5123,0
37,23,5,5,1,6,2,1,2,3,2,20,2,8,50,1,2,1,2,12,1,1,41,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2.0,2.0,1.0,3,1560,0
38,14,3,5,1,6,2,1,8,3,1,8,2,3,28,1,1,10,1,10,1,2,45,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,3,3592,0
39,17,3,7,1,4,2,3,11,3,3,8,1,7,36,1,2,5,1,12,1,1,73,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,2,6506,1
